metric,baseline_mean,refined_mean,absolute_difference,percentage_difference,baseline_runs,refined_runs
executed,500.0,1533.3333333333333,1033.3333333333333,206.66666666666666,15,15
accepted,291.067,1485.867,1194.8,410.48968106999416,15,15
rejected,208.933,29.933,-179.0,-85.67339769208311,15,15
encoding_errors,0.0,17.533,17.533,,15,15
crashes,0.0,0.0,0.0,,15,15
structural_fingerprints,274.533,598.2,323.66700000000003,117.89730196369837,15,15
rejection_signatures,87.8,24.067,-63.733,-72.5888382687927,15,15
acceptance_percentage,58.213,97.072,38.859,66.75313074399189,15,15
